timestamp temperature humidity pressure pm10_standard pm25_standard pm100_standard pm10_env pm25_env pm100_env particles_03um particles_05um particles_10um particles_25um particles_50um particles_100um
1670870697.4899101 20.793359375 33.672357511903165 985.3693532776696 0 1 1 0 1 1 201 50 13 0 0 0 
1670870702.6195183 20.78828125 33.482319308257246 985.3659857596384 0 0 0 0 0 0 165 47 2 0 0 0 
1670870707.7528124 20.793359375 33.68992075106043 985.3585884303715 0 0 0 0 0 0 165 45 2 0 0 0 
1670870712.8828874 20.82890625 33.653834896113324 985.3586146294982 0 0 0 0 0 0 165 45 2 0 0 0 
1670870718.0151255 20.81875 33.55308672536942 985.3986750515603 0 0 0 0 0 0 165 45 2 0 0 0 
1670870723.1493132 20.81875 33.5886496411228 985.3582827831073 0 0 0 0 0 0 156 42 2 0 0 0 
1670870728.2830818 20.82890625 33.58253140594541 985.3751006969421 0 0 0 0 0 0 156 42 2 0 0 0 
1670870733.415479 20.823828125 33.64221355529187 985.3616505176287 0 0 0 0 0 0 156 42 2 0 0 0 
1670870738.5468235 20.81875 33.65986408300653 985.3269534173783 0 0 0 0 0 0 162 44 9 0 0 0 
1670870743.678313 20.823828125 33.481783593027345 985.3437918083454 0 0 0 0 0 0 162 44 9 0 0 0 
1670870748.8113716 20.813671875 33.75501803139158 985.3488433270006 0 0 0 0 0 0 162 44 9 0 0 0 
1670870753.9411275 20.80859375 33.70757175784125 985.2983038775835 0 0 0 0 0 0 177 51 9 0 0 0 
1670870759.072848 20.803515625 33.64230102406261 985.3508588614947 0 0 0 0 0 0 177 51 9 0 0 0 
1670870764.2061906 20.7984375 33.56541211175996 985.3333316515583 0 0 0 0 0 0 177 51 9 0 0 0 
1670870769.3384998 20.80859375 33.64833005169138 985.296620107916 0 1 1 0 1 1 234 67 11 0 0 0 
1670870774.4726088 20.803515625 33.517702021395294 985.3633085171609 0 1 1 0 1 1 234 67 11 0 0 0 
1670870779.6031985 20.80859375 33.63050531177273 985.3447867263891 0 1 1 0 1 1 234 67 11 0 0 0 
1670870784.7302883 20.7984375 33.517702021395294 985.3417505760793 0 0 0 0 0 0 123 39 4 0 0 0 
1670870789.863797 20.7984375 33.62482663485501 985.3582571188376 0 0 0 0 0 0 123 39 4 0 0 0 
1670870794.9973478 20.7984375 33.45234244772566 985.3255755651043 0 0 0 0 0 0 108 34 4 0 0 0 
1670870800.1300623 20.803515625 33.55920542524948 985.296951701703 0 0 0 0 0 0 108 34 4 0 0 0 
1670870805.2632658 20.803515625 33.64833005169138 985.3683599161142 0 0 0 0 0 0 108 34 4 0 0 0 
1670870810.396389 20.80859375 33.57100056510107 985.3215451601687 0 0 0 0 0 0 99 29 2 0 0 0 
1670870815.529376 20.7984375 33.68406622252882 985.3363677333838 0 0 0 0 0 0 99 29 2 0 0 0 
1670870820.6620777 20.80859375 33.63653441748009 985.2999876473209 0 0 0 0 0 0 99 29 2 0 0 0 
1670870825.7950387 20.78828125 33.547410506594574 985.3350154363225 0 0 0 0 0 0 108 32 2 0 0 0 
1670870830.9276536 20.803515625 33.594943547413145 985.3104217525485 0 0 0 0 0 0 108 32 2 0 0 0 
1670870836.0613742 20.7984375 33.487993278743964 985.3464705252003 0 0 0 0 0 0 108 32 2 0 0 0 
1670870841.1953347 20.813671875 33.4166912459764 985.3353726119868 0 0 0 0 0 0 117 32 4 0 0 0 
1670870846.329534 20.823828125 33.54093701843074 985.340424129592 0 0 0 0 0 0 117 32 4 0 0 0 
1670870851.4628916 20.82890625 33.624388374685616 985.3464957144876 0 0 0 0 0 0 117 32 4 0 0 0 
1670870856.595812 20.81875 33.59459150838355 985.3505271666924 0 0 0 0 0 0 126 35 4 0 0 0 
1670870861.7292116 20.81875 33.50528428459483 985.3515473149045 0 0 0 0 0 0 126 35 4 0 0 0 
1670870866.863183 20.82890625 33.60638731180901 985.3400922437625 0 1 1 0 1 1 213 57 10 0 0 0 
1670870871.9933193 20.81875 33.62430069020189 985.3589463662012 0 1 1 0 1 1 213 57 10 0 0 0 
1670870877.1270192 20.80859375 33.547056281924796 985.3316729803192 0 1 1 0 1 1 213 57 10 0 0 0 
1670870882.2610047 20.81875 33.5294967015196 985.3646609497576 0 0 0 0 0 0 192 47 8 0 0 0 
1670870887.3944826 20.81875 33.56505879324701 985.3784891944362 0 0 0 0 0 0 192 47 8 0 0 0 
1670870892.5285566 20.81875 33.52923040206882 985.3320049339334 0 0 0 0 0 0 192 47 8 0 0 0 
1670870897.6613064 20.81875 33.41029868002865 985.3656817270682 0 0 0 0 0 0 180 40 6 0 0 0 
1670870902.7951405 20.82890625 33.535172372319835 985.3667021199358 0 0 0 0 0 0 180 40 6 0 0 0 
1670870907.9289148 20.81875 33.45198385159409 985.3501953622045 0 0 0 0 0 0 180 40 6 0 0 0 
1670870913.0587757 20.81875 33.60070926989309 985.3144783597603 0 0 0 0 0 0 174 38 6 0 0 0 
1670870918.19204 20.80859375 33.576942326656585 985.3242494537674 0 0 0 0 0 0 174 38 6 0 0 0 
1670870923.3224409 20.80859375 33.523732541366975 985.3306529524968 0 0 0 0 0 0 174 38 6 0 0 0 
1670870928.4549305 20.803515625 33.5294967015196 985.3276170768933 0 0 0 0 0 0 165 35 6 0 0 0 
1670870933.5887454 20.813671875 33.446221193469235 985.3117988714931 0 0 0 0 0 0 165 35 6 0 0 0 
1670870938.7219703 20.80859375 33.54120297296698 985.3320049339334 0 0 0 0 0 0 165 35 6 0 0 0 
1670870943.8552017 20.813671875 33.5412916028452 985.3303210950118 0 0 0 0 0 0 165 35 6 0 0 0 
1670870948.9896312 20.803515625 33.57703053590759 985.3168503861581 0 1 1 0 1 1 168 53 13 0 0 0 
1670870954.1173332 20.81875 33.53534977949836 985.3188661769034 0 1 1 0 1 1 189 60 15 0 0 0 
1670870959.2493541 20.813671875 33.559117011094386 985.3485115089559 0 1 1 0 1 1 189 60 15 0 0 0 
1670870964.3817787 20.823828125 33.487636321938915 985.3198860144389 0 1 1 0 1 1 189 60 15 0 0 0 
1670870969.5122428 20.80859375 33.47575220635342 985.3471594873788 0 1 1 0 1 1 204 65 15 0 0 0 
1670870974.6452422 20.823828125 33.5412916028452 985.3168503861581 0 1 1 0 1 1 204 65 15 0 0 0 
1670870979.7780962 20.813671875 33.523288421518764 985.3367245381752 0 1 1 0 1 1 204 65 15 0 0 0 
1670870984.9105606 20.82890625 33.75510421335088 985.3202180629514 0 1 1 0 1 1 210 63 13 0 0 0 
1670870990.0433822 20.823828125 33.5412916028452 985.3687177525607 0 1 1 0 1 1 210 63 13 0 0 0 
1670870995.175044 20.81875 33.62430069020189 985.3320049339334 0 1 1 0 1 1 210 63 13 0 0 0 
1670871000.3089116 20.81875 33.600445396846304 985.360298483167 0 1 1 0 1 1 195 58 9 0 0 0 
1670871005.4390032 20.823828125 33.410208514987154 985.3431279812262 0 1 1 0 1 1 195 58 9 0 0 0 
1670871010.5723436 20.81875 33.523288421518764 985.3333568328678 0 1 1 0 1 1 195 58 9 0 0 0 
1670871015.7057865 20.81875 33.65995136851601 985.3336887729251 0 1 1 0 1 1 207 60 9 0 0 0 
1670871020.8364801 20.80859375 33.600797205941944 985.3602722161856 0 1 1 0 1 1 207 60 9 0 0 0 
1670871025.970357 20.803515625 33.5294967015196 985.3572625261593 0 1 1 0 1 1 207 60 9 0 0 0 
1670871031.101796 20.81875 33.707658475343536 985.3309847002992 0 1 1 0 1 1 177 55 10 0 0 0 
1670871036.2352815 20.7984375 33.53534977949836 985.3427713844244 0 1 1 0 1 1 177 55 10 0 0 0 
1670871041.3693507 20.80859375 33.4403689855822 985.3299640822399 0 1 1 0 1 1 168 48 8 0 0 0 
