timestamp temperature humidity pressure pm10_standard pm25_standard pm100_standard pm10_env pm25_env pm100_env particles_03um particles_05um particles_10um particles_25um particles_50um particles_100um
1685946374.2944453 20.2697265625 47.2438343394716 980.050998679765 2 3 3 2 3 3 501 154 23 2 0 0 
1685946379.4476647 20.2595703125 47.30287083251312 980.0577272383326 2 3 3 2 3 3 501 154 23 2 0 0 
1685946384.601333 20.2646484375 47.23799332420834 980.050998679765 2 3 3 2 3 3 501 154 23 2 0 0 
1685946389.7544117 20.2646484375 47.38561794307394 980.0590466104123 2 3 3 2 3 3 486 147 23 2 0 0 
1685946394.9085386 20.2595703125 47.13159675011756 980.0859610737934 2 3 3 2 3 3 486 147 23 2 0 0 
1685946400.0649884 20.2697265625 47.23208249075029 980.0809146105468 2 3 3 2 3 3 486 147 23 2 0 0 
1685946405.2189991 20.2748046875 47.30294132874079 980.0506358442747 1 3 3 1 3 3 432 133 19 2 0 0 
1685946410.3730924 20.2646484375 47.24974508462821 980.0900503211351 1 3 3 1 3 3 432 133 19 2 0 0 
1685946415.524348 20.2646484375 47.27345810921315 980.0573644570452 1 3 3 1 3 3 432 133 19 2 0 0 
1685946420.6759393 20.2697265625 47.23806305360219 980.1111933994607 2 2 2 2 2 2 426 133 17 0 0 0 
1685946425.8270347 20.2646484375 47.166993717568424 980.0741859938629 2 2 2 2 2 2 426 133 17 0 0 0 
1685946430.9802418 20.2595703125 47.38568938780904 980.1007379288503 2 2 2 2 2 2 426 133 17 0 0 0 
1685946436.1308491 20.2595703125 47.26163655530555 980.0311758993829 1 2 2 1 2 2 399 126 19 0 0 0 
1685946441.2794874 20.2595703125 47.18458802982924 980.0698647954622 2 3 6 2 3 6 558 155 20 6 4 0 
1685946446.4300094 20.2595703125 47.326583836797035 980.0480502602462 2 3 5 2 3 5 468 139 24 6 4 0 
1685946451.5820155 20.2595703125 47.18472632287584 980.0607287638496 2 3 5 2 3 5 468 139 24 6 4 0 
1685946456.7335398 20.2595703125 47.249884825206955 980.0775503020651 2 3 5 2 3 5 468 139 24 6 4 0 
1685946461.8843026 20.2595703125 47.397510374732256 980.0698647954622 2 3 5 2 3 5 456 139 24 6 4 0 
1685946467.033895 20.2595703125 47.30287083251312 980.0472715383089 2 3 5 2 3 5 456 139 24 6 4 0 
1685946472.1847236 20.2595703125 47.361976116945726 980.0479971540055 2 3 5 2 3 5 456 139 24 6 4 0 
1685946477.3369758 20.2595703125 47.143350099999495 980.0678200782803 2 3 6 2 3 6 465 143 26 8 4 0 
1685946482.4876356 20.2595703125 47.13737057085002 980.079232456271 2 3 6 2 3 6 465 143 26 8 4 0 
1685946487.6397998 20.2646484375 47.25565581951156 980.0765933029018 2 3 6 2 3 6 465 143 26 8 4 0 
1685946492.7941082 20.2494140625 47.084036336922736 980.0930521891562 1 4 6 1 4 6 432 136 28 12 4 0 
1685946497.944464 20.2595703125 47.30280032551285 980.068182668777 1 4 6 1 4 6 432 136 28 12 4 0 
1685946503.0939026 20.2595703125 47.23194313515407 980.0732290490421 1 4 6 1 4 6 432 136 28 12 4 0 
1685946508.248831 20.2494140625 47.220052149991666 980.1001957573412 1 3 6 1 3 6 426 129 26 12 4 0 
1685946513.402342 20.2443359375 47.08994715617519 980.1039220706292 1 3 6 1 3 6 426 129 26 12 4 0 
1685946518.5528617 20.2341796875 47.34987088156844 980.0921473689691 1 3 6 1 3 6 426 129 26 12 4 0 
1685946523.7019596 20.2240234375 47.219704196165274 980.0532259162412 2 5 5 2 5 5 453 135 16 8 0 0 
1685946528.851514 20.2189453125 47.36140633923639 980.1046459129232 2 5 5 2 5 5 453 135 16 8 0 0 
1685946534.0051143 20.2291015625 47.29076810173262 980.0818206762622 2 4 6 2 4 6 432 128 20 10 2 2 
1685946539.154534 20.2189453125 47.37336896891415 980.1016435503391 2 4 6 2 4 6 432 128 20 10 2 2 
1685946544.3066564 20.2240234375 47.37920756142179 980.061998027992 2 4 6 2 4 6 432 128 20 10 2 2 
1685946549.4602494 20.2138671875 47.32010732769625 980.1036872710799 2 4 6 2 4 6 468 140 23 8 2 2 
1685946554.6087558 20.2240234375 47.38504599738766 980.1104154564766 2 4 6 2 4 6 468 140 23 8 2 2 
1685946559.7606971 20.2087890625 47.29639643195116 980.0986411327663 2 4 6 2 4 6 468 140 23 8 2 2 
1685946564.914036 20.2037109375 47.50302310091164 980.1027282456369 2 4 6 2 4 6 489 144 25 8 2 2 
1685946570.068833 20.2138671875 47.44385548250438 980.0976821888361 2 4 6 2 4 6 489 144 25 8 2 2 
1685946575.2197597 20.1986328125 47.444072204623836 980.0791799859461 2 4 6 2 4 6 489 144 25 8 2 2 
1685946580.3681839 20.1986328125 47.39672239969715 980.1057308553216 2 3 5 2 3 5 435 125 21 6 2 2 
1685946585.5166485 20.2087890625 47.46172889584568 980.0862695404206 2 3 5 2 3 5 435 125 21 6 2 2 
1685946590.6659403 20.2087890625 47.36724493074171 980.084948921431 2 3 5 2 3 5 435 125 21 6 2 2 
1685946595.8125987 20.2037109375 47.3376955170578 980.053352635597 1 2 3 1 2 3 384 113 19 6 2 2 
1685946600.9616094 20.1986328125 47.46165645190122 980.0866309126347 1 2 3 1 2 3 384 113 19 6 2 2 
1685946606.1128874 20.1986328125 47.46756600399973 980.0903561309066 1 2 2 1 2 2 531 145 19 4 0 0 
1685946611.2596993 20.2037109375 47.438018140802846 980.0886741531134 2 3 3 2 3 3 531 145 19 4 0 0 
1685946616.41371 20.1884765625 47.4082544535387 980.1075369033755 2 3 3 2 3 3 537 149 21 4 0 0 
1685946621.5642753 20.1783203125 47.49098569704774 980.1075369033755 2 3 3 2 3 3 537 149 21 4 0 0 
1685946626.7139468 20.1833984375 47.34915947580789 980.0836282201532 1 2 2 1 2 2 537 149 21 4 0 0 
1685946631.8654354 20.1884765625 47.38468818123147 980.0916768866654 1 2 2 1 2 2 489 139 21 4 0 0 
1685946637.0152926 20.1833984375 47.337340357025006 980.0948030556403 1 2 2 1 2 2 489 139 21 4 0 0 
1685946642.1659923 20.1833984375 47.390526068051585 980.1381729216021 2 3 3 2 3 3 489 139 21 4 0 0 
