timestamp temperature humidity pressure pm10_standard pm25_standard pm100_standard pm10_env pm25_env pm100_env particles_03um particles_05um particles_10um particles_25um particles_50um particles_100um
1667178924.3144207 19.4259765625 52.10746676177938 987.6997220592395 0 0 0 0 0 0 282 74 14 0 0 0 
1667178929.438387 19.4259765625 52.06610222038658 987.6832034679719 0 0 0 0 0 0 282 74 14 0 0 0 
1667178934.5699987 19.4208984375 52.06021118195659 987.6935682756039 1 1 1 1 1 1 282 74 14 0 0 0 
1667178939.703265 19.4158203125 52.142556813664534 987.6938516796868 1 1 1 1 1 1 294 78 14 0 0 0 
1667178944.8364065 19.4158203125 52.27228211810185 987.6736894182442 1 1 1 1 1 1 294 78 14 0 0 0 
1667178949.9648752 19.4107421875 52.065975123600566 987.6739728759956 1 1 1 1 1 1 294 78 14 0 0 0 
1667178955.0954473 19.4056640625 52.08941152696863 987.6470900931754 1 1 1 1 1 1 300 80 12 0 0 0 
1667178960.2295887 19.4056640625 51.98939170405333 987.6658554210084 1 1 1 1 1 1 300 80 12 0 0 0 
1667178965.363899 19.4107421875 52.18392083987496 987.6641752604596 1 1 1 1 1 1 300 80 12 0 0 0 
1667178970.4962451 19.4107421875 52.05406619919595 987.6636082912863 0 0 0 0 0 0 294 78 12 0 0 0 
1667178975.6296964 19.4208984375 52.012956017350106 987.6484866055538 0 0 1 0 0 1 270 73 14 4 0 0 
1667178980.760974 19.4208984375 52.17201084932969 987.6608149395707 0 1 1 0 1 1 297 80 14 4 0 0 
1667178985.894146 19.4158203125 52.08941152696863 987.6759363857653 1 2 2 1 2 2 297 80 14 4 0 0 
1667178991.025666 19.4107421875 52.160229265764514 987.6389728605886 1 2 2 1 2 2 297 80 14 4 0 0 
1667178996.1528332 19.4005859375 52.0127030075725 987.6857340990894 1 1 2 1 1 2 282 77 12 4 0 0 
1667179001.2848852 19.4107421875 51.99528279772797 987.650733978577 1 1 2 1 1 2 282 77 12 4 0 0 
1667179006.4164546 19.4107421875 52.006812079720746 987.7022526249162 0 0 1 0 0 1 282 77 12 4 0 0 
1667179011.5481696 19.4158203125 52.2836746267093 987.6820903592921 0 0 0 0 0 0 282 72 10 2 0 0 
1667179016.6810346 19.4056640625 52.001173881168974 987.6574546189607 0 0 0 0 0 0 282 72 10 2 0 0 
1667179021.8110187 19.4158203125 52.06610222038658 987.6616444421402 1 1 1 1 1 1 282 72 10 2 0 0 
1667179026.9412322 19.4208984375 51.97760948600317 987.6448424346335 1 1 1 1 1 1 276 72 10 2 0 0 
1667179032.0704253 19.4259765625 52.125012041823986 987.6246800348249 1 1 1 1 1 1 276 72 10 2 0 0 
1667179037.2033715 19.4310546875 52.01333545130961 987.6165630653236 1 1 1 1 1 1 276 72 10 2 0 0 
1667179042.3348477 19.4259765625 52.01922670673213 987.6610767921485 0 0 0 0 0 0 270 72 10 2 0 0 
1667179047.4657245 19.4208984375 52.04266482105157 987.6414820339684 0 0 0 0 0 0 270 72 10 2 0 0 
1667179052.5982761 19.4259765625 52.04830218028641 987.6582840400813 0 0 0 0 0 0 270 72 10 2 0 0 
1667179057.7302344 19.4310546875 51.96018783279416 987.6395178870513 1 1 1 1 1 1 258 84 8 0 0 0 
1667179062.861005 19.4259765625 51.98362675108502 987.6297206338361 1 1 1 1 1 1 258 84 8 0 0 0 
1667179067.9950829 19.4259765625 51.94840524215466 987.6414820339684 1 1 1 1 1 1 252 82 8 0 0 0 
1667179073.125371 19.4310546875 52.054827872356405 987.6322287039661 1 1 1 1 1 1 252 82 8 0 0 0 
1667179078.253217 19.4259765625 52.11348540162287 987.6529595992397 1 1 1 1 1 1 252 82 8 0 0 0 
1667179083.383079 19.4361328125 51.98425734437 987.6736666530534 1 1 1 1 1 1 258 80 4 0 0 0 
1667179088.5141857 19.4462890625 51.92496539185154 987.642025902173 1 1 1 1 1 1 258 80 4 0 0 0 
1667179093.6463485 19.4462890625 52.04329873857953 987.6316599394545 1 1 1 1 1 1 258 80 4 0 0 0 
1667179098.7803614 19.4462890625 52.06686457512597 987.6330556750088 1 1 1 1 1 1 249 77 6 0 0 0 
1667179103.9112287 19.4513671875 51.92559249936031 987.6378119187374 1 1 1 1 1 1 249 77 6 0 0 0 
1667179109.0408883 19.4615234375 52.019859219250534 987.616537533223 1 1 1 1 1 1 249 77 6 0 0 0 
