timestamp temperature humidity pressure pm10_standard pm25_standard pm100_standard pm10_env pm25_env pm100_env particles_03um particles_05um particles_10um particles_25um particles_50um particles_100um
1676218137.974637 20.422265625 31.225997512977365 986.0367862605657 1 2 2 1 2 2 396 110 11 2 0 0 
1676218143.10027 20.422265625 31.071537353065782 986.0589804209598 1 2 2 1 2 2 396 110 11 2 0 0 
1676218148.233572 20.40703125 31.059888373363183 986.0565671748914 1 2 2 1 2 2 396 110 11 2 0 0 
1676218153.3661525 20.391796875 31.23239589014177 986.093587808728 1 2 2 1 2 2 390 108 11 2 0 0 
1676218158.4995325 20.401953125 31.06606183982579 986.0535189212527 1 2 2 1 2 2 390 108 11 2 0 0 
1676218163.6302345 20.401953125 31.006654868723015 986.0879052657078 1 2 2 1 2 2 390 108 11 2 0 0 
1676218168.7577302 20.412109375 31.065945505833067 986.0666637080367 1 2 2 1 2 2 396 113 13 2 0 0 
1676218173.8872998 20.412109375 31.113470889767793 986.0657116060014 3 3 3 3 3 3 510 158 18 2 0 0 
1676218179.019583 20.422265625 31.142827521209945 986.0536143517331 2 3 3 2 3 3 489 151 14 0 0 0 
1676218184.1535892 20.4375 30.964364234018475 986.0297370456224 2 3 3 2 3 3 489 151 14 0 0 0 
1676218189.285617 20.4375 31.11289179334638 986.0311017913413 2 3 3 2 3 3 489 151 14 0 0 0 
1676218194.418784 20.442578125 31.077013229996748 986.0375150029545 2 3 3 2 3 3 489 151 10 0 0 0 
1676218199.549999 20.462890625 31.082721955561187 986.0850387275734 2 3 3 2 3 3 489 151 10 0 0 0 
1676218204.6787398 20.44765625 30.957952412312256 986.0301397710867 2 3 3 2 3 3 489 151 10 0 0 0 
1676218209.8074203 20.483203125 31.15332414145097 986.0517879876688 2 2 2 2 2 2 453 134 8 0 0 0 
1676218214.942706 20.478125 30.975189460740623 986.0534709604424 2 2 2 2 2 2 453 134 8 0 0 0 
1676218220.0738168 20.493359375 31.016426324481586 986.0730286968527 2 2 2 2 2 2 453 134 8 0 0 0 
1676218225.2089128 20.493359375 30.939302443435952 986.0575624354148 2 2 2 2 2 2 432 127 6 0 0 0 
1676218230.3434768 20.4984375 30.80238949641491 986.0925866559628 2 2 2 2 2 2 432 127 6 0 0 0 
1676218235.4748378 20.503515625 30.980656881635024 986.0353637202301 2 2 2 2 2 2 432 127 6 0 0 0 
1676218240.6002684 20.503515625 30.81427427671884 986.0356832634071 2 3 3 2 3 3 441 130 15 0 0 0 
1676218245.732206 20.503515625 30.92099907393606 986.0865795441963 2 3 3 2 3 3 441 130 15 0 0 0 
1676218250.8645215 20.503515625 30.802030814145994 986.0566040060064 2 3 3 2 3 3 441 130 15 0 0 0 
1676218255.9953578 20.493359375 30.867755279021598 986.068704879293 1 2 2 1 2 2 369 103 18 0 0 0 
1676218261.1249242 20.503515625 30.90329043078011 986.0606091230878 1 2 2 1 2 2 369 103 18 0 0 0 
1676218266.2566826 20.4984375 30.83792457444483 986.055240551233 1 2 2 1 2 2 348 96 18 0 0 0 
1676218271.3878624 20.513671875 30.730959579855817 986.0663827192102 1 2 2 1 2 2 348 96 18 0 0 0 
1676218276.5225224 20.523828125 30.87904642171912 986.0593306685266 1 2 2 1 2 2 348 96 18 0 0 0 
1676218281.65479 20.52890625 30.87892770696666 986.0570076754044 1 2 2 1 2 2 375 103 14 0 0 0 
1676218286.7858768 20.5341796875 30.742002802334262 986.0849806437403 1 2 2 1 2 2 375 103 14 0 0 0 
1676218291.9167426 20.5392578125 30.795729218389987 986.0903500133896 1 2 2 1 2 2 375 103 14 0 0 0 
1676218297.0502028 20.5341796875 30.837090294975233 986.0782480965049 1 2 2 1 2 2 333 96 12 0 0 0 
1676218302.1832836 20.5341796875 30.836971068884665 986.0953993845117 1 2 2 1 2 2 333 96 12 0 0 0 
1676218307.3180377 20.5392578125 30.688273046942587 986.0978056315353 1 2 2 1 2 2 333 96 12 0 0 0 
1676218312.4517906 20.5494140625 30.65855651845017 986.0429022418804 1 2 2 1 2 2 342 96 16 0 0 0 
1676218317.5866182 20.5494140625 30.84243727915247 986.0890695221974 1 2 2 1 2 2 342 96 16 0 0 0 
1676218322.718415 20.5595703125 30.74152145471377 986.0968446449093 1 2 2 1 2 2 342 96 16 0 0 0 
1676218327.8496244 20.5798828125 30.598390621796206 986.0877872782763 1 2 3 1 2 3 357 103 18 2 0 0 
1676218332.9809687 20.5849609375 30.604212480598825 986.0591723435027 1 2 3 1 2 3 357 103 18 2 0 0 
1676218338.1146717 20.5849609375 30.592690974739103 986.0975659183216 1 2 2 1 2 2 336 100 13 2 0 0 
1676218343.2496915 20.5849609375 30.693369866996637 986.0510772136087 1 2 2 1 2 2 336 100 13 2 0 0 
1676218348.380914 20.6052734375 30.56248243748555 986.1097482128794 1 2 2 1 2 2 336 100 13 2 0 0 
1676218353.5153224 20.6052734375 30.79975689684083 986.06261581754 1 2 2 1 2 2 315 93 13 2 0 0 
1676218358.6490307 20.6001953125 30.699313610451256 986.086503281465 1 2 2 1 2 2 315 93 13 2 0 0 
1676218363.7803392 20.6052734375 30.562237463787447 986.0824939990345 1 2 2 1 2 2 315 93 13 2 0 0 
1676218368.9073966 20.6052734375 30.782045116682227 986.0636558890322 1 2 2 1 2 2 282 86 13 2 0 0 
1676218374.0378046 20.6154296875 30.585647381544472 986.1057390618178 1 2 2 1 2 2 282 86 13 2 0 0 
1676218379.1682014 20.6154296875 30.710355517850182 986.0670225412462 1 2 2 1 2 2 282 86 13 2 0 0 
1676218384.2986038 20.6154296875 30.6692310405585 986.0844987085552 1 2 2 1 2 2 276 86 13 2 0 0 
1676218389.4289992 20.6052734375 30.79975689684083 986.0595707099847 1 2 2 1 2 2 276 86 13 2 0 0 
1676218394.5609953 20.6103515625 30.758149306497558 986.0710323126851 1 2 2 1 2 2 276 86 13 2 0 0 
1676218399.6949418 20.6103515625 30.77610124361609 986.0817746271625 1 2 2 1 2 2 276 84 13 2 0 0 
1676218404.8290806 20.5951171875 30.633810217018464 986.0756837258704 1 2 2 1 2 2 276 84 13 2 0 0 
1676218409.9570043 20.5951171875 30.764573964971007 986.1140776545776 1 2 2 1 2 2 276 84 13 2 0 0 
1676218415.0910494 20.5900390625 30.68136124696922 986.0955617956888 1 2 2 1 2 2 276 84 6 2 0 0 
1676218420.221772 20.5900390625 30.80605989136286 986.0699917213001 1 2 2 1 2 2 426 122 10 0 0 0 
1676218425.3545873 20.6052734375 30.8476654689026 986.0808106858194 1 1 1 1 1 1 384 108 8 0 0 0 
1676218430.4887068 20.5951171875 30.871439858289826 986.1097482128794 1 1 1 1 1 1 384 108 8 0 0 0 
1676218435.622891 20.5951171875 30.586014102269154 986.0888287581915 1 1 1 1 1 1 384 108 8 0 0 0 
1676218440.756035 20.6052734375 30.86513923445044 986.1225723431749 1 1 1 1 1 1 336 94 8 0 0 0 
1676218445.8900383 20.6255859375 30.710234681875246 986.0630122233408 1 1 1 1 1 1 336 94 8 0 0 0 
1676218451.0236669 20.6357421875 30.76337192482344 986.0606847391058 1 1 1 1 1 1 336 94 8 0 0 0 
1676218456.1570282 20.6357421875 30.727946789152092 986.0670960847285 1 1 1 1 1 1 345 97 8 0 0 0 
1676218461.290708 20.6408203125 30.585158268981935 986.0943523569564 1 1 1 1 1 1 345 97 8 0 0 0 
1676218466.4249656 20.6509765625 30.620703896915195 986.0569846865214 1 1 1 1 1 1 345 97 8 0 0 0 
1676218471.5591881 20.6560546875 30.650062168731274 986.0731739729068 1 1 1 1 1 1 333 94 10 0 0 0 
1676218476.6923542 20.6763671875 30.643874045623896 986.0809460544191 1 1 1 1 1 1 333 94 10 0 0 0 
1676218481.8263142 20.6712890625 30.738870946082336 986.0924076790061 1 1 1 1 1 1 333 94 10 0 0 0 
1676218486.9591243 20.6865234375 30.595820610601933 986.0463075280745 1 2 2 1 2 2 339 96 10 2 0 0 
1676218492.092584 20.6916015625 30.61365641693431 986.0924764899484 1 2 2 1 2 2 339 96 10 2 0 0 
1676218497.226834 20.6865234375 30.607466867151842 986.0645028933467 1 2 2 1 2 2 339 96 10 2 0 0 
1676218502.3598182 20.6865234375 30.732805441023 986.0661864099559 1 1 1 1 1 1 351 108 8 0 0 0 
1676218507.4928854 20.6865234375 30.59619207834836 986.042940523719 1 1 1 1 1 1 351 108 8 0 0 0 
1676218512.626981 20.6763671875 30.65552076702947 986.0506437321684 1 1 1 1 1 1 294 92 6 0 0 0 
1676218517.7609591 20.6763671875 30.49524769004889 986.0954519327391 1 1 1 1 1 1 294 92 6 0 0 0 
1676218522.8948388 20.6865234375 30.738629730887446 986.1005024052145 1 1 1 1 1 1 294 92 6 0 0 0 
1676218528.0286195 20.6865234375 30.720669309573196 986.099533768231 1 1 1 1 1 1 303 99 6 0 0 0 
1676218533.161523 20.6916015625 30.66704182405481 986.0628193768075 1 1 1 1 1 1 303 99 6 0 0 0 
1676218538.2958007 20.7119140625 30.48793903927346 986.106658647697 1 1 1 1 1 1 303 99 6 0 0 0 
1676218543.4285922 20.7068359375 30.47629453189752 986.1117094065455 1 1 1 1 1 1 324 104 8 0 0 0 
1676218548.5615335 20.7068359375 30.613045949570406 986.0709795997977 1 1 1 1 1 1 324 104 8 0 0 0 
1676218553.695642 20.7119140625 30.55928967949509 986.1097023784068 1 1 1 1 1 1 324 104 8 0 0 0 
1676218558.8303585 20.7220703125 30.476170832252958 986.0773901844262 1 2 2 1 2 2 351 111 12 0 0 0 
1676218563.9641857 20.72734375 30.411014196469253 986.065928805317 1 2 2 1 2 2 351 111 12 0 0 0 
1676218569.0977294 20.7169921875 30.594964443700803 986.1043279870167 1 2 2 1 2 2 351 111 12 0 0 0 
1676218574.2312634 20.7169921875 30.45238714742843 986.0925426961788 1 2 2 1 2 2 384 120 12 2 0 0 
1676218579.3640547 20.7068359375 30.690459046022497 986.097917180998 1 2 2 1 2 2 384 120 12 2 0 0 
1676218584.4970698 20.7068359375 30.482363979336164 986.0901462842652 1 1 2 1 1 2 315 84 8 2 0 0 
1676218589.6311896 20.7068359375 30.523984001468808 986.0834119971405 1 1 2 1 1 2 315 84 8 2 0 0 
1676218594.7640173 20.7017578125 30.583562747364457 986.1059448512066 1 1 2 1 1 2 315 84 8 2 0 0 
