timestamp temperature humidity pressure pm10_standard pm25_standard pm100_standard pm10_env pm25_env pm100_env particles_03um particles_05um particles_10um particles_25um particles_50um particles_100um
1654628013.0207844 18.2111328125 62.148543867165394 985.8125088256227 2 2 2 2 2 2 1584 165 6 0 0 0 
1654628018.147333 18.2060546875 62.254715000310206 985.8041243555698 2 2 2 2 2 2 1584 165 6 0 0 0 
1654628023.277943 18.2212890625 62.17856867329823 985.8220235603168 2 2 2 2 2 2 1584 165 6 0 0 0 
1654628028.4050677 18.2162109375 62.11413582228972 985.8172662062153 2 2 2 2 2 2 1584 181 6 0 0 0 
1654628033.5379715 18.2212890625 62.11438116431675 985.8298612398784 2 2 2 2 2 2 1584 181 6 0 0 0 
1654628038.6698017 18.2416015625 62.19737235853353 985.8206550844069 2 2 2 2 2 2 1584 181 6 0 0 0 
1654628043.8038151 18.2568359375 61.952553504812094 985.8332489407009 2 3 3 2 3 3 1599 186 8 0 0 0 
1654628048.9336746 18.2619140625 62.069722358092875 985.8229124398763 2 3 3 2 3 3 1599 186 8 0 0 0 
1654628054.0617719 18.2771484375 61.98208978995138 985.8271200873952 2 3 3 2 3 3 1599 186 8 0 0 0 
1654628059.188911 18.2873046875 61.982333469253646 985.8534043514424 2 3 3 2 3 3 1542 195 8 0 0 0 
1654628064.320521 18.2771484375 62.04751094961705 985.8430668832003 2 3 3 2 3 3 1353 160 6 2 0 0 
1654628069.452004 18.2974609375 61.90665602671486 985.8397126315435 2 3 3 2 3 3 1410 167 4 2 0 0 
1654628074.5807958 18.2974609375 61.942052387764264 985.8601128030773 2 3 3 2 3 3 1410 167 4 2 0 0 
1654628079.7142162 18.2873046875 61.95377016865723 985.8352308673509 2 3 3 2 3 3 1410 167 4 2 0 0 
1654628084.8461077 18.2873046875 61.88370536700907 985.8592885055355 1 2 2 1 2 2 1359 169 4 2 0 0 
1654628089.979196 18.2974609375 61.825597775578274 985.8796890664509 1 2 2 1 2 2 1359 169 4 2 0 0 
1654628095.1107073 18.3126953125 61.86709717747592 985.9007050758307 1 2 2 1 2 2 1359 169 4 2 0 0 
1654628100.2434208 18.3177734375 61.9020105538714 985.8542570448027 1 2 2 1 2 2 1374 169 4 2 0 0 
1654628105.375652 18.3177734375 61.767486436363356 985.8702403337785 2 3 3 2 3 3 1374 169 4 2 0 0 
1654628110.5092158 18.3177734375 61.896879033928165 985.8752719607355 2 3 3 2 3 3 1374 169 4 2 0 0 
1654628115.6394129 18.3177734375 61.94351122397721 985.8685631249318 2 2 2 2 2 2 1347 158 2 0 0 0 
1654628120.7673984 18.3177734375 61.90835521917329 985.8506644783264 2 2 2 2 2 2 1347 158 2 0 0 0 
1654628125.9003568 18.3380859375 61.92641905724166 985.8277587014073 2 2 2 2 2 2 1347 158 2 0 0 0 
1654628131.0321522 18.3330078125 61.90346631154405 985.8624293387365 2 2 3 2 2 3 1362 165 4 2 0 0 
1654628136.160267 18.3380859375 61.792372559169 985.8490112386928 2 2 3 2 2 3 1362 165 4 2 0 0 
1654628141.293671 18.3482421875 61.76869181707491 985.8389476665768 1 1 2 1 1 2 1362 165 4 2 0 0 
1654628146.427575 18.3583984375 61.80433378331904 985.8540430256883 1 1 1 1 1 1 1422 167 4 0 0 0 
