timestamp temperature humidity pressure pm10_standard pm25_standard pm100_standard pm10_env pm25_env pm100_env particles_03um particles_05um particles_10um particles_25um particles_50um particles_100um
1659931286.0434275 20.9763671875 57.6040651221594 986.9304743723217 1 4 4 1 4 4 387 127 38 6 0 0 
1659931291.1702332 20.9814453125 57.8226285396275 986.9062484993318 1 4 4 1 4 4 360 118 36 6 0 0 
1659931296.297619 20.9712890625 57.568279356189194 986.9307966712252 1 4 4 1 4 4 360 118 36 6 0 0 
1659931301.4282572 20.9611328125 57.75714215068552 986.9277502614541 1 4 4 1 4 4 360 118 36 6 0 0 
1659931306.5601335 20.9560546875 57.703837801402194 986.9297566538738 1 4 4 1 4 4 360 118 34 4 0 0 
1659931311.6903882 20.9814453125 57.71639292066761 986.9099398861509 1 4 4 1 4 4 360 118 34 4 0 0 
1659931316.8200939 20.9865234375 57.69278455185291 986.9258153176261 1 4 4 1 4 4 360 118 34 4 0 0 
1659931321.9534755 20.9916015625 57.68154260127591 986.924453715472 0 3 3 0 3 3 330 106 36 4 0 0 
1659931327.0865605 21.0017578125 57.66973790976153 986.9261380826287 0 3 3 0 3 3 330 106 36 4 0 0 
1659931332.219657 20.9865234375 57.73447517568759 986.9045641465746 2 3 4 2 3 4 471 129 24 4 2 0 
1659931337.3525167 20.9916015625 57.67526554232115 986.9059256813729 2 3 4 2 3 4 471 129 24 4 2 0 
1659931342.4868727 20.9814453125 57.569024073231255 986.9480348620375 2 3 4 2 3 4 471 129 24 4 2 0 
1659931347.6212988 20.9662109375 57.6566228888385 986.9324809843569 2 3 4 2 3 4 486 129 20 4 2 0 
1659931352.7549844 20.9662109375 57.662712072591056 986.9247037964617 2 3 4 2 3 4 486 129 20 4 2 0 
1659931357.889329 20.9560546875 57.77484749661042 986.9516523766107 2 3 4 2 3 4 486 129 20 4 2 0 
1659931363.0236442 20.9509765625 57.78037198647139 986.9516523766107 1 3 4 1 3 4 465 124 20 4 2 0 
1659931368.1576765 20.9560546875 57.75657703534549 986.9155640701779 1 3 4 1 3 4 465 124 20 4 2 0 
1659931373.2915554 20.9458984375 57.61493577729232 986.9226227710093 1 3 4 1 3 4 465 124 20 4 2 0 
1659931378.4254382 20.9408203125 57.8443421296658 986.9391435014821 1 3 4 1 3 4 432 117 22 6 2 0 
1659931383.561307 20.9306640625 57.95665324333064 986.9198974772838 1 3 4 1 3 4 432 117 22 6 2 0 
1659931388.6965249 20.9306640625 57.832539766031644 986.919575947753 1 3 4 1 3 4 432 117 22 6 2 0 
1659931393.8317187 20.9408203125 57.96312656324207 986.9004058715879 1 3 4 1 3 4 426 115 20 6 2 0 
1659931398.966937 20.9611328125 57.76894572494134 986.9190064812651 1 3 4 1 3 4 426 115 20 6 2 0 
1659931404.100298 21.0068359375 57.55168872701038 986.929899628694 1 3 4 1 3 4 426 115 20 6 2 0 
1659931409.2356513 20.9916015625 57.44488672312566 986.953087966659 1 2 4 1 2 4 405 106 18 4 2 0 
1659931414.3708115 20.9814453125 57.84642532952559 986.9396130224023 2 3 5 2 3 5 465 134 38 2 2 2 
1659931419.5064964 20.9814453125 57.78702837221096 986.9190064812651 2 3 5 2 3 5 465 134 38 2 2 2 
1659931424.6405516 20.9611328125 57.66861402976612 986.9243816627987 2 3 5 2 3 5 465 134 38 2 2 2 
1659931429.7729733 20.9458984375 57.78608488364773 986.9253477345878 2 3 5 2 3 5 465 134 38 2 2 2 
1659931434.9072526 20.9509765625 57.809879965346305 986.9354532873388 2 4 5 2 4 5 498 138 38 2 2 2 
1659931440.042 20.9458984375 57.63835601934755 986.9408277471007 2 4 5 2 4 5 498 138 38 2 2 2 
1659931445.1757898 20.9357421875 57.66748976281983 986.9472431020681 2 4 5 2 4 5 498 138 38 2 2 2 
1659931450.3104684 20.9306640625 57.78532989932567 986.9057804612661 1 3 5 1 3 5 441 129 35 2 2 2 
1659931455.4443958 20.9306640625 57.8919311096948 986.9276754652979 1 3 5 1 3 5 441 129 35 2 2 2 
1659931460.5783772 20.9509765625 57.76210169364061 986.9391435014821 1 3 5 1 3 5 441 129 35 2 2 2 
1659931465.7123685 20.9306640625 57.73221801100755 986.9360966238461 1 3 3 1 3 3 414 122 31 0 0 0 
1659931470.846321 20.9306640625 57.82054818421993 986.9502131618406 1 3 3 1 3 3 414 122 31 0 0 0 
1659931475.980229 20.9357421875 57.57269098947682 986.9653710126273 1 3 3 1 3 3 414 122 31 0 0 0 
1659931481.1141055 20.9306640625 57.96236349907582 986.9468447513249 2 4 4 2 4 4 471 141 38 0 0 0 
1659931486.2486653 20.9255859375 57.76172471867107 986.9670552186203 2 4 4 2 4 4 471 141 38 0 0 0 
1659931491.3829198 20.9154296875 57.713949935789124 986.9491712254667 2 4 4 2 4 4 471 141 38 0 0 0 
1659931496.5159497 20.9154296875 57.82035899651095 986.9494921953549 1 3 3 1 3 3 423 124 20 0 0 0 
1659931501.649238 20.91015625 57.956081066581035 986.9255927383582 1 3 3 1 3 3 423 124 20 0 0 0 
1659931506.7830672 20.9205078125 57.902782938491875 986.9255927383582 2 3 3 2 3 3 465 133 18 0 0 0 
1659931511.9160085 20.9154296875 57.855765279412374 986.9508554036423 2 3 3 2 3 3 465 133 18 0 0 0 
1659931517.0504293 20.9154296875 57.943898128232206 986.9575921170458 2 3 3 2 3 3 465 133 18 0 0 0 
1659931522.18376 20.9154296875 57.82569223980151 986.9424345134637 2 3 3 2 3 3 474 140 23 0 0 0 
1659931527.3180292 20.9255859375 57.908874008260604 986.9788446625331 2 3 3 2 3 3 474 140 23 0 0 0 
1659931532.4522078 20.9255859375 57.85595487112184 986.9289610928191 2 3 3 2 3 3 474 140 23 0 0 0 
1659931537.5861115 20.9154296875 57.8201697980536 986.936018880937 2 4 4 2 4 4 510 155 25 0 0 0 
1659931542.7200215 20.905078125 57.79656567271575 986.9548655089188 2 4 4 2 4 4 510 155 25 0 0 0 
1659931547.8502805 20.88984375 57.931334592051776 986.949090867511 2 4 4 2 4 4 510 155 25 0 0 0 
1659931552.9840367 20.9 57.90202226656282 986.9666545692721 2 4 4 2 4 4 537 165 25 0 0 0 
1659931558.1179578 20.905078125 57.914013759033196 986.9464447536245 1 3 3 1 3 3 537 165 25 0 0 0 
1659931563.2517195 20.9 58.15022427302374 986.94612386633 1 3 3 1 3 3 537 165 25 0 0 0 
1659931568.385574 20.9205078125 57.94979885010481 986.9363398495822 1 3 3 1 3 3 552 168 28 0 0 0 
1659931573.5187433 20.9509765625 57.82149396153951 986.9411493198154 2 4 4 2 4 4 552 168 28 0 0 0 
1659931578.6532257 20.9712890625 57.639104140831904 986.9880633569904 1 2 2 1 2 2 363 101 20 0 0 0 
1659931583.78615 20.9662109375 57.680605388082995 986.9297566538738 1 2 2 1 2 2 363 101 20 0 0 0 
1659931588.9201136 20.9611328125 57.8452891999175 986.9546990607834 1 2 2 1 2 2 363 101 20 0 0 0 
